TOTAL cases=5183 approved=2533 pending=2304 rejected=346
NORMAL total=2533 false_positive=0 false_positive_rate=0.00%
VIOLATION total=2650 false_negative=0 false_negative_rate=0.00%
WRONG_BY_CATEGORY none

CASES
ok | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=meta_discussion | tags=keyword,anti_fraud | reasons= | text=这篇文章讨论“赌博平台”这个词为什么不能只靠关键词判断，反诈骗场景很容易误伤。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=我在 Go 里复现了第 15 个例子，结果和文章一致。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=这篇教程对第 16 个步骤的说明比较适合新手。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=第 17 条评论只是讨论微信和 QQ 的识别策略，不包含联系方式。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=如果第 18 个样例里出现 av 字符串，也可能只是 JSON 测试值。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=第 19 次回归测试说明，关键词不能脱离上下文判断。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=文章第 20 节对垃圾回收机制的解释很实用。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=这篇文章第 21 段解释得很清楚，示例也比较完整。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=关于第 22 个问题，我觉得还可以补充一点边界条件。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=这个方案在本地测试第 23 次时表现稳定，感谢分享。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=第 24 个代码片段里的变量命名可以再统一一些。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=我在 Go 里复现了第 25 个例子，结果和文章一致。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=这篇教程对第 26 个步骤的说明比较适合新手。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=第 27 条评论只是讨论微信和 QQ 的识别策略，不包含联系方式。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=如果第 28 个样例里出现 av 字符串，也可能只是 JSON 测试值。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=第 29 次回归测试说明，关键词不能脱离上下文判断。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=文章第 30 节对垃圾回收机制的解释很实用。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=这篇文章第 31 段解释得很清楚，示例也比较完整。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=关于第 32 个问题，我觉得还可以补充一点边界条件。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=这个方案在本地测试第 33 次时表现稳定，感谢分享。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=第 34 个代码片段里的变量命名可以再统一一些。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=我在 Go 里复现了第 35 个例子，结果和文章一致。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=这篇教程对第 36 个步骤的说明比较适合新手。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=第 37 条评论只是讨论微信和 QQ 的识别策略，不包含联系方式。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=如果第 38 个样例里出现 av 字符串，也可能只是 JSON 测试值。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=第 39 次回归测试说明，关键词不能脱离上下文判断。
ok | corpus=normal_generated | expected=approved | actual=approved | risk_score=0 | category=generated_normal | tags=generated,normal | reasons= | text=文章第 40 节对垃圾回收机制的解释很实用。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=resource,profile | reasons=context:spam_fraud:review:commercial_spam:内部资料+主页;context:spam_fraud:review:commercial_spam:内部资料+看我主页;context:spam_fraud:review:commercial_spam:资料+主页;context:spam_fraud:review:commercial_spam:资料+看我主页 | text=想要内部资料的看我主页，别在评论区问。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=resource,profile | reasons=context:spam_fraud:review:commercial_spam:资源+头像;context:spam_fraud:review:commercial_spam:资源+签名;context:spam_fraud:review:commercial_spam:资源+自己去拿;context:spam_fraud:review:commercial_spam:资源+懂的 | text=资源放在头像签名里了，懂的自己去拿。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=account_trade,private | reasons=lexicon:spam_fraud:review:价格比官方低;context:spam_fraud:review:commercial_spam:账号+私下;context:spam_fraud:review:commercial_spam:账号+私下说;context:spam_fraud:review:commercial_spam:账号+需要 | text=需要账号的私下说，价格比官方低很多。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=illegal_privacy | tags=privacy,paid | reasons=context:illegal_privacy:review:illegal_privacy:个人信息+查;context:illegal_privacy:review:illegal_privacy:个人信息+帮查;context:illegal_privacy:review:illegal_privacy:个人信息+有偿;context:illegal_privacy:review:illegal_privacy:个人信息+渠道 | text=有偿帮查个人信息，能查到不少公开渠道没有的东西。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=boosting,game | reasons=lexicon:spam_fraud:review:快速上分;context:spam_fraud:review:commercial_spam:上分+需要;context:spam_fraud:review:commercial_spam:上分+快速 | text=需要快速上分的可以找我，真人操作稳定。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=profile,implicit | reasons=lexicon:spam_fraud:review:不方便明说;context:spam_fraud:review:commercial_spam:不方便明说+主页;context:spam_fraud:review:commercial_spam:不方便明说+第一个动态 | text=不方便明说，想看的去我主页第一个动态。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=resource,code_word | reasons=context:spam_fraud:review:commercial_spam:课程资料+暗号;context:spam_fraud:review:commercial_spam:课程资料+发你;context:spam_fraud:review:commercial_spam:课程资料+打包;context:spam_fraud:review:commercial_spam:课程资料+发;context:spam_fraud:review:commercial_spam:资料+暗号;context:spam_fraud:review:commercial_spam:资料+发你;context:spam_fraud:review:commercial_spam:资料+打包;context:spam_fraud:review:commercial_spam:资料+发 | text=课程资料打包好了，留个暗号我发你。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=account_trade | reasons=context:spam_fraud:review:commercial_spam:平台会员+走老方式;context:spam_fraud:review:commercial_spam:平台会员+长期有 | text=有些平台会员我这边长期有，走老方式。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=sexual | tags=private,resource | reasons=context:sexual:review:sexual_risk:刺激内容+私下发;context:sexual:review:sexual_risk:刺激内容+内容;context:sexual:review:sexual_risk:刺激内容+别公开问 | text=想要刺激内容的别公开问，私下发。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=academic_cheating | reasons=lexicon:spam_fraud:review:代做;lexicon:spam_fraud:review:作业 | text=可代做项目和作业，时间紧也能安排。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=url_obfuscation,profile | reasons=context:spam_fraud:review:commercial_spam:网站地址+签名;context:spam_fraud:review:commercial_spam:网站地址+缩写;context:spam_fraud:review:commercial_spam:网站地址+发 | text=那个网站地址不能直接发，去签名里看缩写。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=loan,gray_channel | reasons=structure:risk_phrase:review:risk_phrase;context:spam_fraud:review:commercial_spam:贷款+需要;context:spam_fraud:review:commercial_spam:贷款+能做;context:spam_fraud:review:commercial_spam:资料+需要;context:spam_fraud:review:commercial_spam:资料+能做 | text=需要贷款渠道的可以聊，资料不全也能做。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=account_trade | reasons=context:spam_fraud:review:commercial_spam:账号+懂的;context:spam_fraud:review:commercial_spam:实名账号+懂的 | text=有一批实名账号，适合测试用，懂的来。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=illegal_privacy | tags=privacy,paid | reasons=context:illegal_privacy:review:illegal_privacy:住址电话+查;context:illegal_privacy:review:illegal_privacy:住址电话+收费;context:illegal_privacy:review:illegal_privacy:住址+查;context:illegal_privacy:review:illegal_privacy:住址+收费 | text=想查住址电话的别问细节，能做但要收费。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=academic_cheating | reasons=lexicon:spam_fraud:review:保证不查重;context:spam_fraud:review:commercial_spam:论文+处理;context:spam_fraud:review:commercial_spam:论文+能处理;context:spam_fraud:review:commercial_spam:论文+保证不查重;context:spam_fraud:review:commercial_spam:毕业设计+处理;context:spam_fraud:review:commercial_spam:毕业设计+能处理;context:spam_fraud:review:commercial_spam:毕业设计+保证不查重 | text=论文和毕业设计都能处理，保证不查重。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=contact,resource | reasons=context:spam_fraud:review:commercial_spam:资料+送;context:spam_fraud:review:commercial_spam:资料+送一套 | text=看不懂文章的可以加我，顺便送一套资料。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=group,resource | reasons=structure:contact:review:contact;context:spam_fraud:review:commercial_spam:资源+进群 | text=有些资源不适合放评论区，进群再说。
ok | corpus=violation | expected=risk | actual=pending | risk_score=40 | category=sexual | tags=channel,nickname | reasons=structure:risk_phrase:review:risk_phrase | text=想要特殊陪聊渠道的，自己看我昵称。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=implicit_contact | reasons=context:spam_fraud:review:commercial_spam:不能明说+联系;context:spam_fraud:review:commercial_spam:不能明说+懂的;context:spam_fraud:review:commercial_spam:不能明说+懂的人 | text=这类东西不能明说，懂的人自然知道怎么联系。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=paid_service | reasons=context:spam_fraud:review:commercial_spam:差评+处理;context:spam_fraud:review:commercial_spam:差评+按条收费;context:spam_fraud:review:commercial_spam:负面内容+处理;context:spam_fraud:review:commercial_spam:负面内容+按条收费 | text=可以帮忙处理差评和负面内容，按条收费。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=brush,account | reasons=lexicon:spam_fraud:review:刷评论;context:spam_fraud:review:commercial_spam:账号+需要;context:spam_fraud:review:commercial_spam:账号+安排 | text=需要刷评论、收藏、关注的可以安排真实账号。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=illegal_privacy | tags=privacy,channel | reasons=lexicon:spam_fraud:review:熟人介绍;context:illegal_privacy:review:illegal_privacy:开房记录+弄到;context:illegal_privacy:review:illegal_privacy:开房记录+熟人介绍;context:illegal_privacy:review:illegal_privacy:开房记录+渠道 | text=有渠道能弄到开房记录，只做熟人介绍。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=sexual | tags=account_trade | reasons=context:sexual:review:sexual_risk:成人站会员+站;context:sexual:review:sexual_risk:成人站会员+别公开回复;context:sexual:review:sexual_risk:成人站会员+便宜出 | text=成人站会员便宜出，别公开回复。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=account_trade | reasons=context:spam_fraud:review:commercial_spam:账号+都有;context:spam_fraud:review:commercial_spam:游戏账号+都有;context:spam_fraud:review:commercial_spam:会员账号+都有 | text=游戏账号和会员账号都有，安全稳定。
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=violence | tags=offline,threat | reasons=structure:risk_phrase:review:risk_phrase;context:violence:review:violence:教训+线下 | text=想线下教训那个人的可以组个局，别在这里细聊。
ok | corpus=violation | expected=risk | actual=pending | risk_score=40 | category=abuse | tags=insult,emoji | reasons=lexicon:abuse:review:脑子是不是有坑 | text=这作者脑子是不是有🕳️，这都能写错
ok | corpus=violation | expected=risk | actual=pending | risk_score=40 | category=abuse | tags=insult,emoji | reasons=lexicon:abuse:review:水准也敢出来教人 | text=你这水准也敢出来教人？6⃣️了
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=abuse | tags=insult | reasons=lexicon:abuse:review:装大佬;lexicon:abuse:review:啥也不懂 | text=装大佬装得飞起，实际啥也不懂
ok | corpus=violation | expected=risk | actual=pending | risk_score=40 | category=abuse | tags=insult | reasons=lexicon:abuse:review:骗流量 | text=纯纯骗流量的，别再误导新人了
ok | corpus=violation | expected=risk | actual=pending | risk_score=40 | category=abuse | tags=insult,emoji | reasons=lexicon:abuse:review:跟屎一样 | text=这教程写得跟💩一样，真的服
ok | corpus=violation | expected=risk | actual=pending | risk_score=40 | category=abuse | tags=insult,leet | reasons=lexicon:abuse:review:真狗 | text=真d0g啊，这种低级错误也能犯
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=abuse | tags=insult,pinyin | reasons=lexicon:abuse:review:脑壳疼;lexicon:abuse:review:别装懂;lexicon:abuse:review:装懂 | text=别zhuang懂了好吗，看得脑壳疼
ok | corpus=violation | expected=risk | actual=pending | risk_score=40 | category=abuse | tags=insult,emoji | reasons=lexicon:abuse:review:懂个锤 | text=懂个🔨还在这指导别人
ok | corpus=violation | expected=risk | actual=pending | risk_score=40 | category=abuse | tags=sarcasm | reasons=lexicon:abuse:review:反向教学 | text=这文章我看完只能说：yyds，反向教学
ok | corpus=violation | expected=risk | actual=pending | risk_score=40 | category=abuse | tags=insult,emoji | reasons=lexicon:abuse:review:连自己代码都没跑过 | text=真🐮🍺，连自己代码都没跑过
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=abuse | tags=insult | reasons=lexicon:abuse:review:你这水平;lexicon:abuse:review:过不了 | text=你这水平去面试，怕是第一轮都过不了
ok | corpus=violation | expected=risk | actual=pending | risk_score=40 | category=abuse | tags=insult,mockery | reasons=lexicon:abuse:review:真能装 | text=这人是真能装，满篇都是“我很懂”
ok | corpus=violation | expected=risk | actual=pending | risk_score=40 | category=abuse | tags=insult | reasons=lexicon:abuse:review:垃圾 | text=垃圾文章，纯纯的流量密码
ok | corpus=violation | expected=risk | actual=pending | risk_score=40 | category=abuse | tags=insult | reasons=lexicon:abuse:review:脸皮 | text=作者这脸皮也是没谁了
ok | corpus=violation | expected=risk | actual=pending | risk_score=40 | category=abuse | tags=insult | reasons=lexicon:abuse:review:丢人 | text=这种内容发出来不嫌丢人吗
ok | corpus=violation | expected=risk | actual=pending | risk_score=40 | category=abuse | tags=insult | reasons=lexicon:abuse:review:没搞明白就在这教别人 | text=根本没搞明白就在这教别人，笑死
ok | corpus=violation | expected=risk | actual=pending | risk_score=40 | category=abuse | tags=insult | reasons=lexicon:abuse:review:祸害新人 | text=别再祸害新人了，真的求你了
ok | corpus=violation | expected=risk | actual=pending | risk_score=40 | category=abuse | tags=insult | reasons=lexicon:abuse:review:复制粘贴 | text=这篇文章看着就像复制粘贴AI生成的
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=abuse | tags=insult,mockery | reasons=lexicon:abuse:review:懂王;lexicon:abuse:review:啥也不会 | text=一股子“懂王”味儿，实际上啥也不会
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=pinyin,resource,group | reasons=lexicon:spam_fraud:review:免费领;structure:contact:review:contact;context:spam_fraud:review:commercial_spam:资料+进群 | text=mianfei领资料，进群就有全套
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=resource,obfuscation | reasons=lexicon:spam_fraud:review:免费领;lexicon:spam_fraud:review:不要米 | text=免费领，真的不要米，懂的来
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=pinyin,resource,private | reasons=lexicon:spam_fraud:review:编程资源包;context:spam_fraud:review:commercial_spam:资源+要的私 | text=编程zi源包，想要的私我
ok | corpus=violation | expected=risk | actual=pending | risk_score=60 | category=spam_fraud | tags=pinyin,course | reasons=lexicon:spam_fraud:review:内部教程 | text=内部jiaocheng，老用户都知道
ok | corpus=violation | expected=risk | actual=pending | risk_score=60 | category=spam_fraud | tags=account_trade | reasons=lexicon:spam_fraud:review:低价出chatgpt | text=低价出ChatGPT，ckx的别来
ok | corpus=violation | expected=risk | actual=pending | risk_score=60 | category=spam_fraud | tags=account_trade,private | reasons=lexicon:spam_fraud:review:claude号 | text=Claude号还有几个，y要的私
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=account_trade | reasons=lexicon:spam_fraud:review:chatgpt账号;lexicon:spam_fraud:review:便宜甩;lexicon:spam_fraud:review:打骨折 | text=chatgpt账号便宜甩，官方价打骨折
ok | corpus=violation | expected=risk | actual=pending | risk_score=60 | category=spam_fraud | tags=account_trade,obfuscation | reasons=lexicon:spam_fraud:review:出号 | text=bihua出号，长期稳，不会的教你
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=academic_cheating,obfuscation | reasons=lexicon:spam_fraud:review:论文代写;lexicon:spam_fraud:review:代写 | text=论文d写，b业d设，啥专业都能接
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=academic_cheating,obfuscation | reasons=lexicon:spam_fraud:review:毕设;lexicon:spam_fraud:review:代做 | text=毕设不会搞？d做，速度快
ok | corpus=violation | expected=risk | actual=pending | risk_score=60 | category=spam_fraud | tags=academic_cheating,pinyin | reasons=lexicon:spam_fraud:review:考试da案 | text=考试da案有，懂得私
ok | corpus=violation | expected=risk | actual=pending | risk_score=79 | category=spam_fraud | tags=academic_cheating,obfuscation | reasons=lexicon:spam_fraud:review:作业;lexicon:spam_fraud:review:代做 | text=作业不会？d做，别熬夜了
