TOTAL cases=4287 approved=2017 pending=583 rejected=1687
NORMAL total=2017 false_positive=0 false_positive_rate=0.00%
VIOLATION total=2270 false_negative=0 false_negative_rate=0.00%
MANUAL_EDGE total=100 approved=53 pending=8 rejected=39 normal=53 false_positive=0 false_positive_rate=0.00% violation=47 false_negative=0 false_negative_rate=0.00%
WRONG_BY_CATEGORY none

CASES
ok | id=N001 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=meta_discussion | tags=keyword,anti_fraud | reasons=decision_engine:risk:0.0141 | text=这篇文章讨论“赌博平台”这个词为什么不能只靠关键词判断，反诈骗场景很容易误伤。
ok | id=N012 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=privacy_education | tags=privacy,case | reasons=decision_engine:risk:0.0000 | text=这个案例说明“手机号查询”相关内容应该被严格限制。
ok | id=N013 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=security_test | tags=sexual,quote | reasons=decision_engine:risk:0.0057 | text=“无码资源”这类词出现在安全测试文档里时，不一定代表评论违规。
ok | id=N014 | corpus=normal | expected=approved | actual=approved | risk_score=3 | category=self_deprecating | tags=abuse,quote | reasons=decision_engine:risk:0.0348 | text=作者说自己写得像垃圾，其实是在自嘲，不是在攻击别人。
ok | id=N015 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=anti_fraud | tags=spam_fraud,education | reasons=decision_engine:risk:0.0000 | text=这篇文章分析刷量产业链，是为了提醒大家不要参与。
ok | id=N016 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=education | tags=academic_integrity | reasons=decision_engine:risk:0.0098 | text=讨论代写论文的危害，本身不应该被当成推广代写。
ok | id=N017 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=anti_fraud | tags=investment,quote | reasons=decision_engine:risk:0.0141 | text=反诈骗文章里出现“保证收益”是为了举例说明骗局话术。
ok | id=N018 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=privacy_education | tags=privacy,case | reasons=decision_engine:risk:0.0000 | text=这里说的“开房记录”是隐私保护案例，不是提供查询服务。
ok | id=N019 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=moderation_design | tags=spam_fraud,sample | reasons=decision_engine:risk:0.0002 | text=“低价出售账号”这句话是违规样例，不是我的真实需求。
ok | id=N020 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=moderation_design | tags=sexual,policy | reasons=decision_engine:risk:0.0022 | text=文章里提到约炮、裸聊，是在说明内容安全系统的命中规则。
ok | id=N021 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=moderation_design | tags=gambling,false_positive | reasons=decision_engine:risk:0.0014 | text=不要因为出现“赌博”两个字就直接拒绝，语境很重要。
ok | id=N022 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=security_test | tags=mixed,test | reasons=decision_engine:risk:0.0141 | text=这条评论只是复现误判：成人网站、博彩、贷款这些词都在测试语料里。
ok | id=N023 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=meta_discussion | tags=abuse,quote | reasons=decision_engine:risk:0.0057 | text=我觉得“献丑”在这里是谦虚表达，不是攻击作者。
ok | id=N024 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=anti_fraud | tags=investment,quote | reasons=decision_engine:risk:0.0141 | text=这篇文章介绍如何识别虚假投资广告，例子里会出现“稳赚不赔”。
ok | id=N025 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=moderation_design | tags=contact,spam_fraud | reasons=decision_engine:risk:0.0000 | text=风控系统需要识别“加群领取资料”这种引流模式，但正常讨论不能误杀。
ok | id=N026 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=tech_criticism | tags=sharp_criticism,mild_mockery | reasons=decision_engine:risk:0.0000 | text=根本没干过开发吧，一看就是CV工程师
ok | id=N027 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=code_snippet | tags=json,short_ascii | reasons=decision_engine:risk:0.0000 | text={"test": "av"}
ok | id=N028 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=code_snippet | tags=json,test | reasons=decision_engine:risk:0.0000 | text={"test": "av"} 我来试试这个JSON
ok | id=N029 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=code_snippet | tags=json,test | reasons=decision_engine:risk:0.0000 | text={"test": "av"} 我来测试一下
ok | id=N030 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=tech_criticism | tags=sharp_criticism | reasons=decision_engine:risk:0.0000 | text=看完你这篇我算是知道什么叫不懂还硬讲了
ok | id=N031 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=tech_criticism | tags=content_criticism | reasons=decision_engine:risk:0.0000 | text=你这不是分享经验，是拿错误结论坑后来的人
ok | id=N032 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=tech_criticism | tags=sarcasm,content_criticism | reasons=decision_engine:risk:0.0000 | text=这种人最喜欢把自己踩过的坑包装成“经验”，真够离谱的
ok | id=N033 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=tech_criticism | tags=content_criticism | reasons=decision_engine:risk:0.0000 | text=这教程看着挺专业，实际上全是拼凑出来的水货
ok | id=N034 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=anti_fraud | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0141 | text=这篇文章是在分析“稳赚不赔”为什么是典型诈骗话术，大家千万不要相信。
ok | id=N035 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=moderation_design | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0022 | text=公司安全培训拿“成人网站会员”作为违规样例，并不代表我们要购买。
ok | id=N036 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=education | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=医学课程讨论未成年人隐私保护，重点是禁止泄露学生照片。
ok | id=N037 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=anti_fraud | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0038 | text=警方通报提醒市民不要参加所谓投资群，也不要相信保证收益。
ok | id=N038 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=education | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0059 | text=文章对“论文代写”的产业链做了批判，支持学术诚信。
ok | id=N039 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=moderation_design | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0037 | text=别把“加好友”本身都判违规，正常技术交流也会使用这个表达。
ok | id=N040 | corpus=normal | expected=approved | actual=approved | risk_score=3 | category=technical | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0326 | text=这个正则应该识别微信号，但示例账号 test_user_2026 只是测试数据。
ok | id=N041 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=technical | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=Redis 的主从切换失败并不代表数据一定丢失，要结合日志判断。
ok | id=N042 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=technical | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0057 | text=Go 的垃圾回收不是“垃圾内容”，这里讲的是 GC 调优。
ok | id=N043 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=technical | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=这个 kill 命令只是终止本地测试进程，不是在威胁任何人。
ok | id=N044 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=technical | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=数据库死锁排查部分写得很好，建议再补一个事务回滚案例。
ok | id=N045 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=technical | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=防火墙规则会阻断攻击流量，这里的“攻击”是网络安全概念。
ok | id=N046 | corpus=normal | expected=approved | actual=approved | risk_score=10 | category=legal_education | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0984 | text=文章引用“砸店报复”作为违法案例，结论是遇事应当报警。
ok | id=N047 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=medical | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=急救培训展示伤口图片前应该充分提示，并进行必要打码。
ok | id=N048 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=media_ethics | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=事故现场视频不应随意传播，这既伤害家属也可能侵犯隐私。
ok | id=N049 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=academic | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=讨论政治口号的传播机制属于学术研究，不等于号召大家转发。
ok | id=N050 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=normal_discussion | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=文章比较了美国和中国的软件产业，但没有任何政治动员内容。
ok | id=N051 | corpus=normal | expected=approved | actual=approved | risk_score=2 | category=technical | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0151 | text=政府公开数据接口的分页设计很合理，示例也容易理解。
ok | id=N052 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=education | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0037 | text=学生可以在老师指导下完成课程设计，不应该找人代做。
ok | id=N053 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=child_safety | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=家长不应要求小孩公开联系方式，保护隐私比流量更重要。
ok | id=N054 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=anti_fraud | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0141 | text=这篇反诈骗文章列出了“快速办理贷款”的诱导方式，提醒很及时。
ok | id=N055 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=platform_governance | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0037 | text=建议平台严查刷评论和刷赞服务，虚假互动会破坏社区。
ok | id=N056 | corpus=normal | expected=approved | actual=approved | risk_score=11 | category=copyright | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.1116 | text=支持正版课程，所谓内部教程和盗版资源最终都会伤害作者。
ok | id=N057 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=technical | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=这里的账号是数据库账号，不是拿来出售的平台会员账号。
ok | id=N058 | corpus=normal | expected=approved | actual=approved | risk_score=16 | category=technical | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.1620 | text=测试用例名叫 gamblingDetector，不代表代码在推广赌博。
ok | id=N059 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=technical | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=变量 adultContentPolicy 表示内容安全策略，请不要按单词直接误判。
ok | id=N060 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=normal_request | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=文章附件能否提供完整源码？我只需要本项目的开源示例。
ok | id=N061 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=normal_request | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=能否把资料放在文章附件，而不是让读者去其他平台领取？
ok | id=N062 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=negated_contact | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=我不需要加群，也不需要私信，直接在评论区解释即可。
ok | id=N063 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=negated_contact | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=无需联系方式，公开回复解决方案对其他读者更有帮助。
ok | id=N064 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=technical | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=我的手机号校验正则为什么匹配不到 13800138000 这个测试号码？
ok | id=N065 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=technical_link | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=文档地址是 https://go.dev/doc/，这是官方技术资料。
ok | id=N066 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=technical_link | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0092 | text=示例域名 example.com 仅用于文档，不是广告或引流链接。
ok | id=N067 | corpus=normal | expected=approved | actual=approved | risk_score=11 | category=technical | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.1116 | text=邮件解析器需要支持 user at example dot com 这种反垃圾样本。
ok | id=N068 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=code_snippet | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=JSON 里的字段名叫 privateResourceEnabled，只是布尔配置。
ok | id=N069 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=technical | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0008 | text=配置项 reject_score=80 表示审核阈值，不是考试答案。
ok | id=N070 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=technical | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=版本号 2026.07.31 看起来没问题，建议补充变更日志。
ok | id=N071 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=normal_expression | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=哈哈哈哈，这个并发问题我也踩过，修复方式很实用。
ok | id=N072 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=self_deprecating | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=作者说“我真菜”明显是在自嘲，不是在辱骂其他用户。
ok | id=N073 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=meta_discussion | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0057 | text=“胡说八道”作为语言学样本出现时，不应直接认定用户在攻击作者。
ok | id=N074 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=constructive_criticism | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=这段结论有明显错误，但建议针对代码讨论，不要攻击作者本人。
ok | id=N075 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=constructive_criticism | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=我不同意这个实现，性能测试数据不足，建议重新验证。
ok | id=N076 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=anti_fraud | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0141 | text=所谓“骗子项目”是文章举出的反面案例，作者并未进行推广。
ok | id=N077 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=moderation_design | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0022 | text=如果有人发布成人资源链接，审核系统应该直接拦截。
ok | id=N078 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=moderation_design | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=如果有人私信出售账号，应当举报，而不是与其交易。
ok | id=N079 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=privacy_safety | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=看到有人说可以查开房记录，请不要相信并及时向平台举报。
ok | id=N080 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=child_safety | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=未成年人深夜聊天的安全风险值得讨论，重点是加强监护。
ok | id=N081 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=security_research | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0000 | text=网络攻击工具的检测规则需要覆盖混淆字符，这是防御研究。
ok | id=N082 | corpus=normal | expected=approved | actual=approved | risk_score=2 | category=moderation_design | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.0219 | text=这条只是审核测试：低价账号、内部资料、稳赚不赔均为违规样例。
ok | id=N083 | corpus=normal | expected=approved | actual=approved | risk_score=11 | category=platform_governance | tags=manual_edge,false_positive | reasons=decision_engine:risk:0.1116 | text=评论中出现“举报”可能是在维护社区秩序，不能一概视为恶意。
ok | id=N084 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=quoted_risk | tags=manual_arch_v2,quote,anti_fraud | reasons=decision_engine:risk:0.0092 | text=新闻报道引用了“稳赚不赔、内部渠道”等诈骗话术，目的是提醒读者识别骗局。
ok | id=N085 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=quoted_risk | tags=manual_arch_v2,quote,legal | reasons=decision_engine:risk:0.0141 | text=判决书中记录被告曾发布“低价出售账号”的广告，这不是评论者在交易。
ok | id=N086 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=quoted_risk | tags=manual_arch_v2,quote,academic | reasons=decision_engine:risk:0.0043 | text=论文把“代写包过”作为研究对象，分析其对学术诚信的破坏。
ok | id=N087 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=quoted_risk | tags=manual_arch_v2,quote,training | reasons=decision_engine:risk:0.0000 | text=培训材料展示“加微信返钱”这一典型诱导句，要求员工遇到后立即上报。
ok | id=N088 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=quoted_risk | tags=manual_arch_v2,quote,security | reasons=decision_engine:risk:0.0000 | text=文章引用攻击者的话“把后台地址给我”，随后解释为什么绝不能照做。
ok | id=N089 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=quoted_risk | tags=manual_arch_v2,quote,documentary | reasons=decision_engine:risk:0.0014 | text=纪录片字幕出现“盘口提前知道”，上下文是在揭露非法赌球团伙。
ok | id=N090 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=quoted_risk | tags=manual_arch_v2,quote,policy | reasons=decision_engine:risk:0.0000 | text=客服规范将“私信领取完整版”列为禁止发送的营销内容。
ok | id=N091 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=quoted_risk | tags=manual_arch_v2,quote,education | reasons=decision_engine:risk:0.0000 | text=反诈课堂让学生辨认“无需征信当天放款”为什么不可信。
ok | id=N092 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=quoted_risk | tags=manual_arch_v2,quote,log | reasons=decision_engine:risk:0.0059 | text=这段审核日志里的“高清无码资源”只是被命中的证据字段。
ok | id=N093 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=quoted_risk | tags=manual_arch_v2,quote,research | reasons=decision_engine:risk:0.0042 | text=研究报告统计了“刷赞、刷评论、真人互动”等黑产关键词的出现频率。
ok | id=N094 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=negation_scope | tags=manual_arch_v2,negation,contact | reasons=decision_engine:risk:0.0000 | text=我不想加任何群，也不会通过私信接收所谓资料。
ok | id=N095 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=negation_scope | tags=manual_arch_v2,negation,account | reasons=decision_engine:risk:0.0000 | text=请勿购买共享账号，官方订阅才有稳定的安全保障。
ok | id=N096 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=negation_scope | tags=manual_arch_v2,negation,privacy | reasons=decision_engine:risk:0.0037 | text=不要把身份证照片发给陌生人，更不能让对方查询住址。
ok | id=N097 | corpus=normal | expected=approved | actual=approved | risk_score=10 | category=negation_scope | tags=manual_arch_v2,negation,academic | reasons=decision_engine:risk:0.0984 | text=我没有出售课程答案，只是在说明这类广告为什么违规。
ok | id=N098 | corpus=normal | expected=approved | actual=approved | risk_score=10 | category=negation_scope | tags=manual_arch_v2,negation,finance | reasons=decision_engine:risk:0.0984 | text=这个帖子不是在推荐贷款，而是在比较正规银行的利率。
ok | id=N099 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=negation_scope | tags=manual_arch_v2,negation,academic | reasons=decision_engine:risk:0.0037 | text=拒绝代写，从自己完成实验报告开始培养研究能力。
ok | id=N100 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=negation_scope | tags=manual_arch_v2,negation,fraud | reasons=decision_engine:risk:0.0000 | text=别去所谓的内部群，也别相信固定回报的承诺。
ok | id=N101 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=negation_scope | tags=manual_arch_v2,negation,minor | reasons=decision_engine:risk:0.0000 | text=任何人都不应传播未成年人的照片和联系方式。
ok | id=N102 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=negation_scope | tags=manual_arch_v2,negation,governance | reasons=decision_engine:risk:0.0000 | text=平台禁止用小号反复举报他人，这种骚扰应当受到处理。
ok | id=N103 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=negation_scope | tags=manual_arch_v2,negation,security | reasons=decision_engine:risk:0.0000 | text=不要扫描来源不明的二维码，尤其不要输入账号口令。
ok | id=N104 | corpus=normal | expected=approved | actual=approved | risk_score=5 | category=technical_context | tags=manual_arch_v2,code,identifier | reasons=decision_engine:risk:0.0505 | text=变量名 gamblingAccount 只是测试结构体字段，不代表存在博彩账户。
ok | id=N105 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=technical_context | tags=manual_arch_v2,code,test | reasons=decision_engine:risk:0.0000 | text=示例函数叫 sellAccountForTest，用来验证账号交易检测器。
ok | id=N106 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=technical_context | tags=manual_arch_v2,database,contact | reasons=decision_engine:risk:0.0000 | text=数据库字段 contact_phone 存储客服电话，迁移时不能遗漏。
ok | id=N107 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=technical_context | tags=manual_arch_v2,email,documentation | reasons=decision_engine:risk:0.0000 | text=日志中的 user@example.org 是 RFC 文档使用的保留示例地址。
ok | id=N108 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=technical_context | tags=manual_arch_v2,phone,test | reasons=decision_engine:risk:0.0000 | text=单元测试用 13900000000 验证手机号脱敏结果是否正确。
ok | id=N109 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=technical_context | tags=manual_arch_v2,security,code | reasons=decision_engine:risk:0.0000 | text=安全扫描器需要识别 javascript: 伪协议，但这里没有执行任何脚本。
ok | id=N110 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=technical_context | tags=manual_arch_v2,config,identifier | reasons=decision_engine:risk:0.0092 | text=配置中的 adult_content_score 是内容分类字段，不是成人资源推广。
ok | id=N111 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=technical_context | tags=manual_arch_v2,regex,url | reasons=decision_engine:risk:0.0000 | text=正则 hxxps?:// 用于匹配混淆链接，是防御代码的一部分。
ok | id=N112 | corpus=normal | expected=approved | actual=approved | risk_score=10 | category=technical_context | tags=manual_arch_v2,api,finance | reasons=decision_engine:risk:0.0984 | text=接口返回字段 loan_status 表示借款审批状态，和广告无关。
ok | id=N113 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=technical_context | tags=manual_arch_v2,test,contact | reasons=decision_engine:risk:0.0000 | text=测试夹具里的 qq_account 为空，目的是覆盖缺少联系方式的分支。
ok | id=N114 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=professional_context | tags=manual_arch_v2,medical,education | reasons=decision_engine:risk:0.0000 | text=急诊教材展示创伤照片时必须获得授权并做好遮挡。
ok | id=N115 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=professional_context | tags=manual_arch_v2,medical,safety | reasons=decision_engine:risk:0.0000 | text=医生提醒不要自行购买处方药，应到正规医院评估。
ok | id=N116 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=professional_context | tags=manual_arch_v2,news,gambling | reasons=decision_engine:risk:0.0022 | text=警方通报披露了赌博网站的侦破过程，没有提供访问入口。
ok | id=N117 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=professional_context | tags=manual_arch_v2,news,account | reasons=decision_engine:risk:0.0000 | text=记者调查账号买卖黑产，是为了揭示实名信息泄露风险。
ok | id=N118 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=professional_context | tags=manual_arch_v2,child_safety,education | reasons=decision_engine:risk:0.0000 | text=儿童保护课程讨论诱骗者如何索要私密照片，重点是预防。
ok | id=N119 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=professional_context | tags=manual_arch_v2,security,simulation | reasons=decision_engine:risk:0.0000 | text=网络安全演练模拟后台越权访问，所有操作都在隔离环境完成。
ok | id=N120 | corpus=normal | expected=approved | actual=approved | risk_score=1 | category=professional_context | tags=manual_arch_v2,education,fraud | reasons=decision_engine:risk:0.0141 | text=经济学课程分析高收益骗局为何利用了人们的损失厌恶。
ok | id=N121 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=professional_context | tags=manual_arch_v2,governance,spam | reasons=decision_engine:risk:0.0000 | text=平台治理报告介绍了刷量团伙的常见模式和处置数量。
ok | id=N122 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=professional_context | tags=manual_arch_v2,media,privacy | reasons=decision_engine:risk:0.0000 | text=媒体伦理课要求事故视频发布前隐藏受害者身份。
ok | id=N123 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=professional_context | tags=manual_arch_v2,research,abuse | reasons=decision_engine:risk:0.0000 | text=论文研究网络辱骂对青少年心理健康的影响，并倡导友善表达。
ok | id=N124 | corpus=normal | expected=approved | actual=approved | risk_score=0 | category=benign_reference | tags=manual_arch_v2,url,documentation | reasons=decision_engine:risk:0.0000 | text=Go 官方包文档在 https://pkg.go.dev 可以直接查询。
